room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
16732408,1419,37813312,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,1,1.0,,78.0,,Carnaval 2018 no meio dos circuitos,Apartment,2017-07-01 20:50:14.982536,-12.992115,-38.526122,0101000020E610000062DA37F7574343C0F9BD4D7FF6FB29C0
17261356,1419,23280107,Shared room,,Salvador,SALVADOR,BROTAS,0,0.0,6,1.0,,66.0,,Casa de Arigoffe - Quartos compartilhados(Vent.) 2,Hostel,2017-07-01 20:50:14.978242,-13.006554,-38.488867,0101000020E6100000FC8BA031933E43C0E350BF0B5B032AC0
2671775,1419,1642467,Shared room,,Salvador,SALVADOR,ITAPOA,0,0.0,2,1.0,,42.0,,QUARTO CONFORTAVEL!,House,2017-07-01 20:50:14.047459,-12.949662,-38.34705,0101000020E6100000D50968226C2C43C0068200193AE629C0
354854,1419,1642467,Shared room,,Salvador,SALVADOR,ITAPOA,0,0.0,1,1.0,,57.0,,Quarto compartilhado (3)em Itapuã.,House,2017-07-01 20:50:14.045014,-12.950249,-38.347115,0101000020E6100000BC79AA436E2C43C0081D740987E629C0
17114981,1419,114223956,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,2,1.0,,46.0,,Quarto pequeno,Apartment,2017-07-01 20:50:14.039927,-13.002443,-38.527932,0101000020E610000085419946934343C050357A3540012AC0
215431,1419,1097412,Shared room,,Salvador,SALVADOR,SANTO ANTONIO,0,0.0,2,1.0,,47.0,,Largo do Santo Antônio - Capoeira,Dorm,2017-07-01 20:50:14.035184,-12.962707,-38.502903,0101000020E6100000B80721205F4043C0B34291EEE7EC29C0
17173621,1419,107263291,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,4,1.0,,62.0,,Quarto compartilhado Barra Carnaval 2017,Apartment,2017-07-01 20:50:14.033076,-12.998331,-38.528236,0101000020E6100000F148BC3C9D4343C07C2AA73D25FF29C0
18395709,1419,120852842,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,1,1.0,,50.0,,Oportunidade,Apartment,2017-07-01 20:50:14.030618,-13.005504,-38.524504,0101000020E6100000834F73F2224343C08FFE976BD1022AC0
17244574,1419,116195099,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,9,1.0,,46.0,,Hospedagem Carnaval Salvador 2018,House,2017-07-01 20:50:14.027698,-13.005472,-38.527614,0101000020E6100000B47405DB884343C06116DA39CD022AC0
17093194,1419,114686258,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,2,1.0,,46.0,,"APARTAMENTO 1/4 ACONCHEGANTE, NO PORTO DA BARRA",Apartment,2017-07-01 20:50:14.023054,-13.000744,-38.528039,0101000020E61000009B012EC8964343C021567F8461002AC0
18132682,1419,124233138,Shared room,,Salvador,SALVADOR,ITAPOA,0,0.0,5,1.0,,52.0,,Compacto secrete,House,2017-07-01 20:50:14.019964,-12.942307,-38.337704,0101000020E61000003CDD79E2392B43C07095271076E229C0
14816186,1419,92606091,Shared room,,Salvador,SALVADOR,ITAPOA,0,0.0,5,1.0,,62.0,,Quartos Confortável em Colina de Itapuã,House,2017-07-01 20:50:14.017615,-12.938837,-38.366314,0101000020E610000092088D60E32E43C0AC8C463EAFE029C0
18091594,1419,124585523,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,4,1.0,,43.0,,Hostel barra,Guesthouse,2017-07-01 20:50:14.014586,-13.009579,-38.52486,0101000020E6100000417DCB9C2E4343C0EF74E789E7042AC0
16811300,1419,103034657,Shared room,,Salvador,SALVADOR,CONCEICAO DA PRAIA,0,0.0,9,1.0,,46.0,,10 dias de carnaval com comodidade e segurança,House,2017-07-01 20:50:14.012169,-12.97936,-38.51766,0101000020E61000004339D1AE424243C0680586AC6EF529C0
2390235,1419,12209089,Shared room,,Salvador,SALVADOR,VITORIA,1,0.0,2,1.0,,62.0,,Carnaval Salvador,Apartment,2017-07-01 20:50:14.009169,-12.985228,-38.516159,0101000020E61000009E44847F114243C0FC34EECD6FF829C0
18008367,1419,20377635,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,1,1.0,,46.0,,Barra Porto Turismo,Apartment,2017-07-01 20:50:14.006620,-13.008156,-38.53142,0101000020E61000005C381092054443C04888F2052D042AC0
5095781,1419,26322866,Shared room,,Salvador,SALVADOR,SANTANA,0,0.0,6,1.0,,46.0,,Aconchegante acomodação!,House,2017-07-01 20:50:14.003043,-12.979469,-38.508645,0101000020E6100000102384471B4143C043E4F4F57CF529C0
11045407,1419,57322443,Shared room,,Salvador,SALVADOR,SAO PEDRO,0,0.0,2,1.0,,62.0,,Quarto para Carnaval no 2 de Julho.,House,2017-07-01 20:50:13.993724,-12.979485,-38.516507,0101000020E6100000D993C0E61C4243C05AD8D30E7FF529C0
16413757,1419,107206763,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,8,1.0,,12.0,,Carnival in marvellous penthouse,Apartment,2017-07-01 20:50:11.195163,-13.007981,-38.517507,0101000020E6100000BD395CAB3D4243C08FFAEB1516042AC0
